image_path,x,y,w,h
train/0/00000_00000_00000.png,9,9,44,44
train/0/00000_00000_00000_aug0.png,9,9,44,44
train/0/00000_00000_00002.png,9,9,44,44
train/0/00000_00000_00002_aug0.png,9,9,44,44
train/0/00000_00000_00003.png,9,9,44,44
train/0/00000_00000_00003_aug0.png,9,9,44,44
train/0/00000_00000_00004.png,9,9,44,44
train/0/00000_00000_00004_aug0.png,9,9,44,44
train/0/00000_00000_00006.png,9,9,44,44
train/0/00000_00000_00006_aug0.png,9,9,44,44
train/0/00000_00000_00008.png,9,9,44,44
train/0/00000_00000_00008_aug0.png,9,9,44,44
train/0/00000_00000_00009.png,9,9,44,44
train/0/00000_00000_00009_aug0.png,9,9,44,44
train/0/00000_00000_00010.png,9,9,44,44
train/0/00000_00000_00010_aug0.png,9,9,44,44
train/0/00000_00000_00013.png,9,9,44,44
train/0/00000_00000_00013_aug0.png,9,9,44,44
train/0/00000_00000_00015.png,9,9,44,44
train/0/00000_00000_00015_aug0.png,9,9,44,44
train/0/00000_00000_00016.png,9,9,44,44
train/0/00000_00000_00016_aug0.png,9,9,44,44
train/0/00000_00000_00017.png,9,9,44,44
train/0/00000_00000_00017_aug0.png,9,9,44,44
train/0/00000_00000_00019.png,9,9,44,44
train/0/00000_00000_00019_aug0.png,9,9,44,44
train/0/00000_00000_00021.png,9,9,44,44
train/0/00000_00000_00021_aug0.png,9,9,44,44
train/0/00000_00000_00025.png,9,9,44,44
train/0/00000_00000_00025_aug0.png,9,9,44,44
train/0/00000_00000_00026.png,9,9,44,44
train/0/00000_00000_00026_aug0.png,9,9,44,44
train/0/00000_00000_00028.png,9,9,44,44
train/0/00000_00000_00028_aug0.png,9,9,44,44
train/0/00000_00000_00029.png,9,9,44,44
train/0/00000_00000_00029_aug0.png,9,9,44,44
train/0/00000_00001_00001.png,9,9,44,44
train/0/00000_00001_00001_aug0.png,9,9,44,44
train/0/00000_00001_00002.png,9,9,44,44
train/0/00000_00001_00002_aug0.png,9,9,44,44
train/0/00000_00001_00004.png,9,9,44,44
train/0/00000_00001_00004_aug0.png,9,9,44,44
train/0/00000_00001_00005.png,9,9,44,44
train/0/00000_00001_00005_aug0.png,9,9,44,44
train/0/00000_00001_00006.png,9,9,44,44
train/0/00000_00001_00006_aug0.png,9,9,44,44
train/0/00000_00001_00008.png,9,9,44,44
train/0/00000_00001_00008_aug0.png,9,9,44,44
train/0/00000_00001_00009.png,9,9,44,44
train/0/00000_00001_00009_aug0.png,9,9,44,44
train/0/00000_00001_00011.png,9,9,44,44
train/0/00000_00001_00011_aug0.png,9,9,44,44
train/0/00000_00001_00013.png,9,9,44,44
train/0/00000_00001_00013_aug0.png,9,9,44,44
train/0/00000_00001_00014.png,9,9,44,44
train/0/00000_00001_00014_aug0.png,9,9,44,44
train/0/00000_00001_00015.png,9,9,44,44
train/0/00000_00001_00015_aug0.png,9,9,44,44
train/0/00000_00001_00017.png,9,9,44,44
train/0/00000_00001_00017_aug0.png,9,9,44,44
train/0/00000_00001_00018.png,9,9,44,44
train/0/00000_00001_00018_aug0.png,9,9,44,44
train/0/00000_00001_00019.png,9,9,44,44
train/0/00000_00001_00019_aug0.png,9,9,44,44
train/0/00000_00001_00020.png,9,9,44,44
train/0/00000_00001_00020_aug0.png,9,9,44,44
train/0/00000_00001_00021.png,9,9,44,44
train/0/00000_00001_00021_aug0.png,9,9,44,44
train/0/00000_00001_00022.png,9,9,44,44
train/0/00000_00001_00022_aug0.png,9,9,44,44
train/0/00000_00001_00023.png,9,9,44,44
train/0/00000_00001_00023_aug0.png,9,9,44,44
train/0/00000_00001_00026.png,9,9,44,44
train/0/00000_00001_00026_aug0.png,9,9,44,44
train/0/00000_00001_00027.png,9,9,44,44
train/0/00000_00001_00027_aug0.png,9,9,44,44
train/0/00000_00001_00028.png,9,9,44,44
train/0/00000_00001_00028_aug0.png,9,9,44,44
train/0/00000_00001_00029.png,9,9,44,44
train/0/00000_00001_00029_aug0.png,9,9,44,44
train/0/00000_00002_00000.png,9,9,44,44
train/0/00000_00002_00000_aug0.png,9,9,44,44
train/0/00000_00002_00001.png,9,9,44,44
train/0/00000_00002_00001_aug0.png,9,9,44,44
train/0/00000_00002_00003.png,9,9,44,44
train/0/00000_00002_00003_aug0.png,9,9,44,44
train/0/00000_00002_00005.png,9,9,44,44
train/0/00000_00002_00005_aug0.png,9,9,44,44
train/0/00000_00002_00006.png,9,9,44,44
train/0/00000_00002_00006_aug0.png,9,9,44,44
train/0/00000_00002_00008.png,9,9,44,44
train/0/00000_00002_00008_aug0.png,9,9,44,44
train/0/00000_00002_00009.png,9,9,44,44
train/0/00000_00002_00009_aug0.png,9,9,44,44
train/0/00000_00002_00011.png,9,9,44,44
train/0/00000_00002_00011_aug0.png,9,9,44,44
train/0/00000_00002_00012.png,9,9,44,44
train/0/00000_00002_00012_aug0.png,9,9,44,44
train/0/00000_00002_00013.png,9,9,44,44
train/0/00000_00002_00013_aug0.png,9,9,44,44
train/0/00000_00002_00015.png,9,9,44,44
train/0/00000_00002_00015_aug0.png,9,9,44,44
train/0/00000_00002_00016.png,9,9,44,44
train/0/00000_00002_00016_aug0.png,9,9,44,44
train/0/00000_00002_00017.png,9,9,44,44
train/0/00000_00002_00017_aug0.png,9,9,44,44
train/0/00000_00002_00019.png,9,9,44,44
train/0/00000_00002_00019_aug0.png,9,9,44,44
train/0/00000_00002_00021.png,9,9,44,44
train/0/00000_00002_00021_aug0.png,9,9,44,44
train/0/00000_00002_00023.png,9,9,44,44
train/0/00000_00002_00023_aug0.png,9,9,44,44
train/0/00000_00002_00024.png,9,9,44,44
train/0/00000_00002_00024_aug0.png,9,9,44,44
train/0/00000_00002_00029.png,9,9,44,44
train/0/00000_00002_00029_aug0.png,9,9,44,44
train/0/00000_00003_00000.png,9,9,44,44
train/0/00000_00003_00000_aug0.png,9,9,44,44
train/0/00000_00003_00001.png,9,9,44,44
train/0/00000_00003_00001_aug0.png,9,9,44,44
train/0/00000_00003_00002.png,9,9,44,44
train/0/00000_00003_00002_aug0.png,9,9,44,44
train/0/00000_00003_00003.png,9,9,44,44
train/0/00000_00003_00003_aug0.png,9,9,44,44
train/0/00000_00003_00004.png,9,9,44,44
train/0/00000_00003_00004_aug0.png,9,9,44,44
train/0/00000_00003_00006.png,9,9,44,44
train/0/00000_00003_00006_aug0.png,9,9,44,44
train/0/00000_00003_00007.png,9,9,44,44
train/0/00000_00003_00007_aug0.png,9,9,44,44
train/0/00000_00003_00011.png,9,9,44,44
train/0/00000_00003_00011_aug0.png,9,9,44,44
train/0/00000_00003_00013.png,9,9,44,44
train/0/00000_00003_00013_aug0.png,9,9,44,44
train/0/00000_00003_00016.png,9,9,44,44
train/0/00000_00003_00016_aug0.png,9,9,44,44
train/0/00000_00003_00019.png,9,9,44,44
train/0/00000_00003_00019_aug0.png,9,9,44,44
train/0/00000_00003_00020.png,9,9,44,44
train/0/00000_00003_00020_aug0.png,9,9,44,44
train/0/00000_00003_00021.png,9,9,44,44
train/0/00000_00003_00021_aug0.png,9,9,44,44
train/0/00000_00003_00022.png,9,9,44,44
train/0/00000_00003_00022_aug0.png,9,9,44,44
train/0/00000_00003_00023.png,9,9,44,44
train/0/00000_00003_00023_aug0.png,9,9,44,44
train/0/00000_00003_00024.png,9,9,44,44
train/0/00000_00003_00024_aug0.png,9,9,44,44
train/0/00000_00003_00026.png,9,9,44,44
train/0/00000_00003_00026_aug0.png,9,9,44,44
train/0/00000_00003_00027.png,9,9,44,44
train/0/00000_00003_00027_aug0.png,9,9,44,44
train/0/00000_00003_00028.png,9,9,44,44
train/0/00000_00003_00028_aug0.png,9,9,44,44
train/0/00000_00003_00029.png,9,9,44,44
train/0/00000_00003_00029_aug0.png,9,9,44,44
train/0/00000_00004_00003.png,9,9,44,44
train/0/00000_00004_00003_aug0.png,9,9,44,44
train/0/00000_00004_00004.png,9,9,44,44
train/0/00000_00004_00004_aug0.png,9,9,44,44
train/0/00000_00004_00005.png,9,9,44,44
train/0/00000_00004_00005_aug0.png,9,9,44,44
train/0/00000_00004_00006.png,9,9,44,44
train/0/00000_00004_00006_aug0.png,9,9,44,44
train/0/00000_00004_00008.png,9,9,44,44
train/0/00000_00004_00008_aug0.png,9,9,44,44
train/0/00000_00004_00009.png,9,9,44,44
train/0/00000_00004_00009_aug0.png,9,9,44,44
train/0/00000_00004_00011.png,9,9,44,44
train/0/00000_00004_00011_aug0.png,9,9,44,44
train/0/00000_00004_00012.png,9,9,44,44
train/0/00000_00004_00012_aug0.png,9,9,44,44
train/0/00000_00004_00013.png,9,9,44,44
train/0/00000_00004_00013_aug0.png,9,9,44,44
train/0/00000_00004_00014.png,9,9,44,44
train/0/00000_00004_00014_aug0.png,9,9,44,44
train/0/00000_00004_00015.png,9,9,44,44
train/0/00000_00004_00015_aug0.png,9,9,44,44
train/0/00000_00004_00017.png,9,9,44,44
train/0/00000_00004_00017_aug0.png,9,9,44,44
train/0/00000_00004_00018.png,9,9,44,44
train/0/00000_00004_00018_aug0.png,9,9,44,44
train/0/00000_00004_00019.png,9,9,44,44
train/0/00000_00004_00019_aug0.png,9,9,44,44
train/0/00000_00004_00020.png,9,9,44,44
train/0/00000_00004_00020_aug0.png,9,9,44,44
train/0/00000_00004_00021.png,9,9,44,44
train/0/00000_00004_00021_aug0.png,9,9,44,44
train/0/00000_00004_00022.png,9,9,44,44
train/0/00000_00004_00022_aug0.png,9,9,44,44
train/0/00000_00004_00023.png,9,9,44,44
train/0/00000_00004_00023_aug0.png,9,9,44,44
train/0/00000_00004_00024.png,9,9,44,44
train/0/00000_00004_00024_aug0.png,9,9,44,44
train/0/00000_00004_00026.png,9,9,44,44
train/0/00000_00004_00026_aug0.png,9,9,44,44
train/0/00000_00004_00027.png,9,9,44,44
train/0/00000_00004_00027_aug0.png,9,9,44,44
train/0/00000_00004_00028.png,9,9,44,44
train/0/00000_00004_00028_aug0.png,9,9,44,44
train/0/00000_00004_00029.png,9,9,44,44
train/0/00000_00004_00029_aug0.png,9,9,44,44
train/0/00000_00005_00001.png,9,9,44,44
train/0/00000_00005_00001_aug0.png,9,9,44,44
train/0/00000_00005_00002.png,9,9,44,44
train/0/00000_00005_00002_aug0.png,9,9,44,44
train/0/00000_00005_00003.png,9,9,44,44
train/0/00000_00005_00003_aug0.png,9,9,44,44
train/0/00000_00005_00004.png,9,9,44,44
train/0/00000_00005_00004_aug0.png,9,9,44,44
train/0/00000_00005_00005.png,9,9,44,44
train/0/00000_00005_00005_aug0.png,9,9,44,44
train/0/00000_00005_00008.png,9,9,44,44
train/0/00000_00005_00008_aug0.png,9,9,44,44
train/0/00000_00005_00010.png,9,9,44,44
train/0/00000_00005_00010_aug0.png,9,9,44,44
train/0/00000_00005_00011.png,9,9,44,44
train/0/00000_00005_00011_aug0.png,9,9,44,44
train/0/00000_00005_00012.png,9,9,44,44
train/0/00000_00005_00012_aug0.png,9,9,44,44
train/0/00000_00005_00013.png,9,9,44,44
train/0/00000_00005_00013_aug0.png,9,9,44,44
train/0/00000_00005_00016.png,9,9,44,44
train/0/00000_00005_00016_aug0.png,9,9,44,44
train/0/00000_00005_00020.png,9,9,44,44
train/0/00000_00005_00020_aug0.png,9,9,44,44
train/0/00000_00005_00022.png,9,9,44,44
train/0/00000_00005_00022_aug0.png,9,9,44,44
train/0/00000_00005_00023.png,9,9,44,44
train/0/00000_00005_00023_aug0.png,9,9,44,44
train/0/00000_00005_00026.png,9,9,44,44
train/0/00000_00005_00026_aug0.png,9,9,44,44
train/0/00000_00005_00028.png,9,9,44,44
train/0/00000_00005_00028_aug0.png,9,9,44,44
train/0/00000_00005_00029.png,9,9,44,44
train/0/00000_00005_00029_aug0.png,9,9,44,44
train/0/00000_00006_00000.png,9,9,44,44
train/0/00000_00006_00000_aug0.png,9,9,44,44
train/0/00000_00006_00002.png,9,9,44,44
train/0/00000_00006_00002_aug0.png,9,9,44,44
train/0/00000_00006_00003.png,9,9,44,44
train/0/00000_00006_00003_aug0.png,9,9,44,44
train/0/00000_00006_00004.png,9,9,44,44
train/0/00000_00006_00004_aug0.png,9,9,44,44
train/0/00000_00006_00005.png,9,9,44,44
train/0/00000_00006_00005_aug0.png,9,9,44,44
train/0/00000_00006_00006.png,9,9,44,44
train/0/00000_00006_00006_aug0.png,9,9,44,44
train/0/00000_00006_00007.png,9,9,44,44
train/0/00000_00006_00007_aug0.png,9,9,44,44
train/0/00000_00006_00009.png,9,9,44,44
train/0/00000_00006_00009_aug0.png,9,9,44,44
train/0/00000_00006_00010.png,9,9,44,44
